company,type,first_flagged,indicator_at_flag,reason,followup,status_2026,source
安邦保险集团(含安邦人寿/安邦财险),寿险+财险集团,2018年2月,监管认定其違規經營可能嚴重危及公司償付能力,股东问题、关联交易、激进经营、虚假出资嫌疑,2018年2月原保监会接管（期限一年、后延长）；2019年7月大家保险集团注册成立（注册资本203.6亿元，保险保障基金、中石油、上汽出资）承接安邦人寿、安邦养老、安邦资产股权；另设大家财险承接安邦财险部分业务；2020年2月接管结束，安邦集团及安邦财险解散清算，大家保险集团恢复正常经营能力,原監管報告及多方報導交叉引用,高
华夏人寿,寿险,2020年7月,被依法接管（接管前已被认定存在重大风险）,股东违规操作、关联交易、激进经营、资产负债错配,2020年7月起接管（多次延长）；2022年保险保障基金主导筹建瑞众人寿；2023年6月瑞众人寿开业，依法受让华夏人寿资产负债、有效保单及机构网点,华夏人寿已不存在，业务由瑞众人寿承接,https://www.jiemian.com/article/9578706.html,高
天安人寿,寿险,2020年7月,被依法接管,股东风险传导（西水股份、明天系）、资产负债错配,2020年7月起接管；2023年“国家队”中央汇金与保险保障基金联合接盘，拟更名中汇人寿（汇金持股80%、保障基金20%）；2023年中汇人寿获批开业承接天安人寿保单负债、有效资产及全部机构网点,天安人寿已不存在，业务由中汇人寿承接,https://www.jiemian.com/article/9578706.html,高
天安财险,财险,2020年7月,被依法接管,同天安人寿（明天系股东风险）,2020年7月起接管；业务资产包在交易所挂牌转让；上海国企申能集团拟接手并与其他上海地方国企共同设立申能财险,处置中，拟由申能财险承接,搜尋摘要交叉引用,中
易安财险,财险,2020年7月,被依法接管,股东风险、资本补充困难,2020年7月起接管；比亚迪通过增资全资控股（100%）并更名比亚迪财险,已完成风险处置，现为比亚迪财险,https://m.mp.oeeee.com/a/BAAFRD000020230227768291.html,高
新光海航人寿（后更名华汇人寿）,寿险,约2015年（外资股东新光人寿退出后资本金不足）,持续多季度综合、核心偿付能力承压,台资、日资股东新光海航合资模式失败、资本金不足、公司治理僵局,2015年信泰人寿受让股权后更名华汇人寿；此后因公司拟任董监高无法取得任职资格核准，董事会、监事会无法正常履职，自2022Q1起风险综合评级持续为C类，已连续逾十个季度不达标；2024Q4仅剩一款团体定期寿险在售，业务近乎停滞,2026Q2仍列入5家不达标名单（量化指标已达标，但评级C类不达标）,https://news.qq.com/rain/a/20240814A08H3800,高
中法人寿（后更名小康人寿）,寿险,约2010年代中（连续亏损15年）,连续15年亏损、净资产持续为负,中方股东（邮政集团）与法方股东（法国CNP）增资僵局多年未决、资本金屡近枯竭（曾传综合偿付能力充足率降至-16131%的极端数字）,2023年更名小康人寿并将总部由北京迁至上海，引入新股东结构；2024年扭亏为盈（净利润5.14亿元），业务扩展至北京、上海、湖南；2024年末核心、综合偿付能力充足率同为310.88%，评级BBB,已脱离不达标名单，视为增资重组成功案例（唯一由“资不抵债”转为“偿付能力优良”的样本）,https://insurance.jrj.com.cn/2025/05/21080750550733.shtml,中
中融人寿,寿险,2015年三季度末,综合偿付能力充足率-115.95%,大股东（中植企业集团）举牌股票浮亏、经营激进、关联交易,监管曾责令其不得新增股票投资；2021年净亏损65.36亿元，年末净资产-33.33亿元；截至2022年6月末净资产-41.12亿元，严重资不抵债；2022年下半年大股东中植集团爆雷,不明，公开資料在2022年後基本中斷，市场推测仍处于风险处置或停滞状态（未查得2024-2026年最新官方處置結果，待確認）,https://news.vobao.com/article/843557444417363043.shtml,中
渤海人寿,寿险,约2021年前后（具体首次点名季度未查得）,风险综合评级持续为C类,风险综合评级不达标（公司治理、资产负债管理相关问题为主因；与财险性质的渤海财险为姊妹公司但主体不同）,连续多季度评级不达标，曾出现在多份“XX家险企不达标”名单中,未查得2024-2026年最新状态（待確認）,搜尋摘要交叉推断，未查得直接来源,低
渤海财险,财险,约2021年（车险占比过高导致承保连续亏损）,2021Q3/Q4综合偿付能力充足率约100.26%、101.72%,车险业务占比达86.84%导致承保连续亏损（2021年车险承保亏损4.69亿元）、风险综合评级持续为C类,2022年拟增资不超21亿元引入新股东（合计持股不超51.55%），用于补充偿付能力及支持非车险业务发展,未查得2024-2026年最新处置结果（待確認）,https://www.jiemian.com/article/7443631.html,中
都邦财险,财险,约2023年（风险评级降为C类）,核心、综合偿付能力充足率较2023年末下滑,经营情况不佳、盈利能力下降、公司治理（操作风险）存在问题,持续列入历年“不达标险企”名单（2023-2024多次被点名）,未查得2025-2026年最新处置结果（待確認）,https://jrj.wuhan.gov.cn/ztzl_57/xyrd/bxy/202405/t20240531_2410050.shtml,中
安心财险,财险,约2020-2021年（具体首次点名季度未查得）,综合、核心偿付能力充足率均为-884.85%（极端负值，三项指标均“踩红线”）,经营激进、资本严重不足、风险综合评级D类,长期列入不达标名单；2022年“安心、渤海、都邦等12家险企偿付能力不达标”报导中被点名,未查得2024-2026年最新处置结果（待確認；有網路傳聞股權變動但未經證實）,搜尋摘要交叉引用,中
君康人寿,寿险,2020年前三季度,核心、综合偿付能力充足率均降至102.47%，风险综合评级C类,大股东忠旺集团（辽宁忠旺）财务危机传导；累计亏损超12亿元（2020年前三季）,2022年9月忠旺集团被法院裁定进入破产重整程序；监管对君康人寿实施“贴身监管”限制新业务；此后年报及偿付能力报告停止披露,2025年12月传出“富泽人寿”（新设170亿资本险企）拟接盘君康人寿资产，处置迎进展，可能“换牌”退出市场,https://finance.sina.com.cn/money/insurance/bxyx/2025-12-17/doc-inhccfwf7386980.shtml,中
