company,type,period,core_ratio,comprehensive_ratio,irr_rating,source,confidence
全行业,行业平均,2019Q3,139.7,212,,https://m.163.com/dy/article/HO091PUB0519DDQ2.html,中
全行业,行业平均,2020Q4,234.3,246.3,,https://m.21jingji.com/article/20210304/herald/a527af7bdf2855884da8d65bd7e22266.html,高
人身险公司,行业分类,2020Q4,,239.6,,https://jrj.wuhan.gov.cn/ynzx_57/xwzx/202102/t20210210_1634780.shtml,高
财产险公司,行业分类,2020Q4,,277.9,,https://jrj.wuhan.gov.cn/ynzx_57/xwzx/202102/t20210210_1634780.shtml,高
再保险公司,行业分类,2020Q4,,319.3,,https://jrj.wuhan.gov.cn/ynzx_57/xwzx/202102/t20210210_1634780.shtml,高
全行业,行业平均,2021Q1,,246.7,,https://news.qq.com/rain/a/20260311A083ZK00(经其他來源引用),中
全行业,行业平均,2021Q2,,243.7,,https://news.qq.com/rain/a/20260311A083ZK00(经其他來源引用),中
全行业,行业平均,2021Q3,,240,,https://news.qq.com/rain/a/20260311A083ZK00(经其他來源引用),中
全行业,行业平均,2021Q4,219.7,232.1,,"https://news.cnstock.com/news,bwkx-202202-4834061.htm",高
人身险公司,行业分类,2021Q4,,222.5,,"https://news.cnstock.com/news,bwkx-202202-4834061.htm",高
财产险公司,行业分类,2021Q4,,283.7,,"https://news.cnstock.com/news,bwkx-202202-4834061.htm",高
再保险公司,行业分类,2021Q4,,311.2,,"https://news.cnstock.com/news,bwkx-202202-4834061.htm",高
全行业,行业平均,2022Q1,150,224.2,,"https://news.cnstock.com/news,yw-202207-4915386.htm",高
全行业,行业平均,2022Q2,,220.8,,https://finance.sina.com.cn/roll/2022-09-09/doc-imqqsmrn8383510.shtml,高
全行业,行业平均,2022Q3,,212,,https://m.bjnews.com.cn/detail/1670394529168869.html,高
全行业,行业平均,2022Q4,128.4,196,,https://finance.sina.com.cn/money/insurance/bxdt/2023-05-04/doc-imysqnxz3456920.shtml,高
财产险公司,行业分类,2022Q4,,238,,https://finance.sina.com.cn/money/insurance/bxdt/2023-05-04/doc-imysqnxz3456920.shtml,高
人身险公司,行业分类,2022Q4,,186,,https://finance.sina.com.cn/money/insurance/bxdt/2023-05-04/doc-imysqnxz3456920.shtml,高
再保险公司,行业分类,2022Q4,,300,,https://finance.sina.com.cn/money/insurance/bxdt/2023-05-04/doc-imysqnxz3456920.shtml,高
全行业,行业平均,2023Q4,128.2,197.1,,https://www.bbtnews.com.cn/2024/0221/504540.shtml,高
财产险公司,行业分类,2023Q4,206.2,238.2,,https://www.bbtnews.com.cn/2024/0221/504540.shtml,高
人身险公司,行业分类,2023Q4,110.5,186.7,,https://www.bbtnews.com.cn/2024/0221/504540.shtml,高
再保险公司,行业分类,2023Q4,245.6,285.3,,https://www.bbtnews.com.cn/2024/0221/504540.shtml,高
全行业,行业平均,2024Q3,135.1,197.4,,https://finance.sina.com.cn/money/insurance/bxdt/2024-11-22/doc-incwxsyk0663626.shtml,高
财产险公司,行业分类,2024Q3,203.9,231.8,,https://finance.sina.com.cn/money/insurance/bxdt/2024-11-22/doc-incwxsyk0663626.shtml,高
